game_result,score,time,power-up_collected,total_move
Lose,4263,24,1,140
Win,6637,36,2,203
Lose,4794,20,0,131
Win,7692,30,0,163
Lose,2547,48,4,270
Lose,4243,28,1,169
Lose,4232,29,1,187
Lose,3646,38,2,219
Lose,4294,22,1,139
Lose,4321,18,1,132
Lose,4233,27,1,173
Lose,4866,15,0,99
Lose,4873,12,0,74
Lose,4119,40,1,165
Lose,4247,49,1,176
Lose,3081,42,3,245
Lose,4907,11,0,75
Win,6793,26,2,180
Win,6084,42,3,247
Lose,4237,26,1,176
Lose,3732,27,2,199
Win,6748,25,2,208
Lose,4841,16,0,145
Win,6658,34,2,195
Lose,4123,24,1,155
Win,7023,33,2,201
Lose,3897,18,0,128
Win,7541,31,1,178
Lose,4621,27,1,164
Lose,4398,38,2,225
Lose,3782,21,0,136
Win,6882,35,2,213
Lose,4901,19,0,122
Lose,4104,29,1,170
Lose,4432,41,3,230
Lose,3726,16,0,115
Lose,4317,45,3,240
Lose,3984,25,1,160
Lose,4471,39,2,221
Win,6790,30,2,195
Lose,3623,22,1,143
Win,6937,32,2,202
Lose,4265,28,1,172
Lose,4532,36,2,210
Lose,4762,24,0,180
Win,6744,26,2,277
Lose,4861,14,0,130
Win,6765,23,2,172
Lose,3629,37,2,223
Win,6167,33,3,238



